team,fgp,thpp,twpp,ftp,ast,stl,blk,pts,off_efgp,off_tovp,off_rp,off_ftfga,def_efgp,def_tovp,def_rp,def_ftfga,wins
Minnesota Timberwolves,0.457,0.358,0.54,0.778,25.7,8.8,5.6,115.9,0.539,12.4,24.4,0.198,0.535,14.2,74.9,0.227,46
Memphis Grizzlies,0.461,0.353,0.519,0.734,26,9.8,6.5,115.6,0.522,11.2,30,0.18,0.523,13.3,77.8,0.18,56
Milwaukee Bucks,0.468,0.366,0.544,0.776,23.9,7.6,4,115.5,0.546,11.9,23,0.199,0.536,11.6,78.6,0.165,51
Charlotte Hornets,0.468,0.365,0.542,0.74,28.1,8.6,4.9,115.3,0.544,11.6,23.3,0.173,0.544,13.1,74.8,0.187,43
Phoenix Suns,0.485,0.364,0.551,0.797,27.4,8.6,4.4,114.8,0.549,11.6,22.3,0.176,0.51,13,77.1,0.195,64
Atlanta Hawks,0.47,0.374,0.531,0.812,24.6,7.2,4.2,113.9,0.543,10.8,23,0.205,0.543,11.5,76.9,0.177,43
Utah Jazz,0.471,0.36,0.568,0.767,22.4,7.2,4.9,113.6,0.555,12.7,25.4,0.208,0.521,10.9,78.3,0.164,49
San Antonio Spurs,0.467,0.352,0.527,0.754,27.9,7.6,4.9,113.2,0.527,11.1,23.7,0.166,0.532,12.1,75.1,0.176,34
Brooklyn Nets,0.475,0.361,0.538,0.805,25.3,7.1,5.5,112.9,0.54,12.5,23.9,0.198,0.521,11.7,75.1,0.201,44
Denver Nuggets,0.483,0.353,0.575,0.795,27.8,7.2,3.7,112.7,0.556,13.2,21.9,0.194,0.537,11.7,78.3,0.188,48
Los Angeles Lakers,0.469,0.347,0.546,0.732,24,7.6,5.2,112.1,0.537,12.8,21.1,0.19,0.54,12.2,75.8,0.192,33
Boston Celtics,0.466,0.356,0.547,0.816,24.8,7.2,5.8,111.8,0.542,12.4,24,0.195,0.502,12.5,77.3,0.183,51
Chicago Bulls,0.48,0.369,0.535,0.813,23.9,7.1,4.1,111.6,0.541,11.8,20.4,0.201,0.541,11.9,78.3,0.199,46
Indiana Pacers,0.463,0.344,0.541,0.768,25.4,7.1,5.6,111.5,0.531,12.7,25.5,0.184,0.552,11.9,76.2,0.204,25
Golden State Warriors,0.469,0.364,0.557,0.769,27.1,8.8,4.5,111,0.552,13.5,22.8,0.181,0.509,13,78.7,0.181,53
Sacramento Kings,0.46,0.344,0.53,0.768,23.7,7.2,4.5,110.3,0.525,12.5,21.3,0.203,0.551,11.9,76,0.176,30
Miami Heat,0.467,0.379,0.531,0.808,25.5,7.4,3.2,110,0.547,13.4,23.5,0.204,0.524,13.8,78,0.209,53
Philadelphia 76ers,0.466,0.364,0.527,0.821,23.7,7.7,5.3,109.9,0.534,11.6,20.1,0.232,0.524,12.1,76.8,0.192,51
Houston Rockets,0.456,0.349,0.543,0.713,23.6,7.3,4.7,109.7,0.534,14.5,21.7,0.202,0.554,12.3,74.4,0.206,20
Toronto Raptors,0.445,0.349,0.503,0.759,22.1,9,4.6,109.4,0.51,11,28.4,0.177,0.535,14.4,75.6,0.199,48
New Orleans Pelicans,0.457,0.332,0.528,0.789,25,8.3,4,109.3,0.517,12.5,26.9,0.208,0.547,13,78.2,0.196,36
Washington Wizards,0.472,0.342,0.543,0.783,25,6.4,5,108.6,0.532,12.1,20.9,0.197,0.529,10.7,76.9,0.202,35
Los Angeles Clippers,0.458,0.374,0.512,0.793,24,7.4,5,108.4,0.531,12.5,20.6,0.178,0.514,12,74.4,0.167,42
Dallas Mavericks,0.461,0.35,0.548,0.771,23.4,6.7,4,108,0.538,11.7,21.3,0.192,0.521,12.2,78,0.185,52
Cleveland Cavaliers,0.469,0.355,0.541,0.76,25.2,7.1,4.2,107.8,0.538,13.2,24,0.198,0.52,12.3,76.5,0.172,44
New York Knicks,0.437,0.357,0.497,0.744,21.9,7,4.9,106.5,0.513,12,25.1,0.208,0.521,11.7,78.8,0.198,37
Portland Trail Blazers,0.442,0.346,0.513,0.76,22.9,8,4.5,106.2,0.515,13,22.9,0.188,0.559,12.7,76.9,0.222,27
Detroit Pistons,0.431,0.326,0.498,0.782,23.5,7.7,4.8,104.8,0.494,12.6,23.4,0.194,0.541,13.1,75.6,0.226,23
Orlando Magic,0.434,0.331,0.507,0.787,23.7,6.8,4.5,104.2,0.503,13,19.8,0.175,0.532,11.7,77.2,0.196,22
Oklahoma City Thunder,0.43,0.323,0.507,0.756,22.2,7.6,4.6,103.7,0.497,12.5,21.8,0.169,0.533,11.8,76.1,0.169,24
